study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	library_layout	fastq_ftp
PRJEB1350	ERP002168	SAMEA1706514	ERS037315	ERX200492	ERR225832	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225832/ERR225832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225832/ERR225832_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706516	ERS037316	ERX200493	ERR225833	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225833/ERR225833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225833/ERR225833_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706509	ERS037309	ERX200494	ERR225834	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225834/ERR225834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225834/ERR225834_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706511	ERS037311	ERX200495	ERR225835	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225835/ERR225835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225835/ERR225835_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706504	ERS037304	ERX200496	ERR225836	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225836/ERR225836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225836/ERR225836_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706505	ERS037305	ERX200497	ERR225837	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225837/ERR225837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225837/ERR225837_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706501	ERS037301	ERX200498	ERR225838	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225838/ERR225838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225838/ERR225838_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706503	ERS037303	ERX200499	ERR225839	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225839/ERR225839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225839/ERR225839_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706504	ERS037304	ERX200500	ERR225840	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225840/ERR225840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225840/ERR225840_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706505	ERS037305	ERX200501	ERR225841	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225841/ERR225841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225841/ERR225841_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706509	ERS037309	ERX200502	ERR225842	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225842/ERR225842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225842/ERR225842_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706511	ERS037311	ERX200503	ERR225843	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225843/ERR225843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225843/ERR225843_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706514	ERS037315	ERX200504	ERR225844	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225844/ERR225844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225844/ERR225844_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706516	ERS037316	ERX200505	ERR225845	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225845/ERR225845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225845/ERR225845_2.fastq.gz
