Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[strain]	Characteristics[sample description]	Characteristics[sex]	Characteristics[cell type]	Characteristics[immunoprecipitate]	Comment[BioSD_SAMPLE]	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[Center]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[sex]	Factor Value[immunoprecipitate]
ERS037288	Homo sapiens	NCBI Taxonomy	9606	  	  	male	B-Lymphocyte	CTCF	  	GM06986-sc-2011-06-09T13:38:11Z-1162210	ERS037288	LIBRARY_CONSTRUCTION_PROTOCOL_1	3370352_ERX200532	PAIRED	ChIP	GENOMIC	ChIP-Seq	240	12	SEQUENCING_PROTOCOL_1	SC	ERX200532	sequencing assay	ERX200532	ERR225872_1	SC	ERR225872	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225872/ERR225872_1.fastq.gz	male	CTCF
ERS037288	Homo sapiens	NCBI Taxonomy	9606	  	  	male	B-Lymphocyte	CTCF	  	GM06986-sc-2011-06-09T13:38:11Z-1162210	ERS037288	LIBRARY_CONSTRUCTION_PROTOCOL_1	3370352_ERX200532	PAIRED	ChIP	GENOMIC	ChIP-Seq	240	12	SEQUENCING_PROTOCOL_1	SC	ERX200532	sequencing assay	ERX200532	ERR225872_2	SC	ERR225872	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225872/ERR225872_2.fastq.gz	male	CTCF
ERS037291	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	CTCF	  	GM07037-sc-2011-06-09T13:38:13Z-1162213	ERS037291	LIBRARY_CONSTRUCTION_PROTOCOL_1	3370379_ERX200534	PAIRED	ChIP	GENOMIC	ChIP-Seq	232	13	SEQUENCING_PROTOCOL_1	SC	ERX200534	sequencing assay	ERX200534	ERR225874_1	SC	ERR225874	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225874/ERR225874_1.fastq.gz	female	CTCF
ERS037291	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	CTCF	  	GM07037-sc-2011-06-09T13:38:13Z-1162213	ERS037291	LIBRARY_CONSTRUCTION_PROTOCOL_1	3370379_ERX200534	PAIRED	ChIP	GENOMIC	ChIP-Seq	232	13	SEQUENCING_PROTOCOL_1	SC	ERX200534	sequencing assay	ERX200534	ERR225874_2	SC	ERR225874	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225874/ERR225874_2.fastq.gz	female	CTCF
ERS037292	Homo sapiens	NCBI Taxonomy	9606	  	  	male	B-Lymphocyte	  	  	GM07051-sc-2011-06-09T13:38:14Z-1162214	ERS037292	LIBRARY_CONSTRUCTION_PROTOCOL_1	3145059_ERX200528	PAIRED	ChIP	GENOMIC	ChIP-Seq	221	28	SEQUENCING_PROTOCOL_1	SC	ERX200528	sequencing assay	ERX200528	ERR225868_1	SC	ERR225868	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225868/ERR225868_1.fastq.gz	male	    
ERS037292	Homo sapiens	NCBI Taxonomy	9606	  	  	male	B-Lymphocyte	  	  	GM07051-sc-2011-06-09T13:38:14Z-1162214	ERS037292	LIBRARY_CONSTRUCTION_PROTOCOL_1	3145059_ERX200528	PAIRED	ChIP	GENOMIC	ChIP-Seq	221	28	SEQUENCING_PROTOCOL_1	SC	ERX200528	sequencing assay	ERX200528	ERR225868_2	SC	ERR225868	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225868/ERR225868_2.fastq.gz	male	    
ERS037293	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	CTCF	  	GM07346-sc-2011-06-09T13:38:15Z-1162215	ERS037293	LIBRARY_CONSTRUCTION_PROTOCOL_1	3370380_ERX200535	PAIRED	ChIP	GENOMIC	ChIP-Seq	232	13	SEQUENCING_PROTOCOL_1	SC	ERX200535	sequencing assay	ERX200535	ERR225875_1	SC	ERR225875	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225875/ERR225875_1.fastq.gz	female	CTCF
ERS037293	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	CTCF	  	GM07346-sc-2011-06-09T13:38:15Z-1162215	ERS037293	LIBRARY_CONSTRUCTION_PROTOCOL_1	3370380_ERX200535	PAIRED	ChIP	GENOMIC	ChIP-Seq	232	13	SEQUENCING_PROTOCOL_1	SC	ERX200535	sequencing assay	ERX200535	ERR225875_2	SC	ERR225875	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225875/ERR225875_2.fastq.gz	female	CTCF
ERS037295	Homo sapiens	NCBI Taxonomy	9606	  	  	male	B-Lymphocyte	CTCF	SAMEA1706495	GM07357-sc-2011-06-09T13:38:16Z-1162217	ERS037295	LIBRARY_CONSTRUCTION_PROTOCOL_1	3370381_ERX200540	PAIRED	ChIP	GENOMIC	ChIP-Seq	228	10	SEQUENCING_PROTOCOL_1	SC	ERX200540	sequencing assay	ERX200540	ERR225880_1	SC	ERR225880	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225880/ERR225880_1.fastq.gz	male	CTCF
ERS037295	Homo sapiens	NCBI Taxonomy	9606	  	  	male	B-Lymphocyte	CTCF	SAMEA1706495	GM07357-sc-2011-06-09T13:38:16Z-1162217	ERS037295	LIBRARY_CONSTRUCTION_PROTOCOL_1	3370381_ERX200540	PAIRED	ChIP	GENOMIC	ChIP-Seq	228	10	SEQUENCING_PROTOCOL_1	SC	ERX200540	sequencing assay	ERX200540	ERR225880_2	SC	ERR225880	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225880/ERR225880_2.fastq.gz	male	CTCF
