Source Name	Characteristics[organism]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[population]	Characteristics[coriell id]	Material Type	Protocol REF	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Comment[MD5]	Factor Value[immunoprecipitate]	Factor Value[coriell id]
NA06985_H3K27ac	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA06985	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA06985_H3K27ac	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA06985_H3K27ac	sequencing assay	IP_06985_H3K27ac_120628_3_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06985_H3K27ac_120628_3_sorted.bam	3f8aa3ef5998fc19403b6c003281d7de	H3K27ac	NA06985
NA06985_H3K4me1	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA06985	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA06985_H3K4me1	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA06985_H3K4me1	sequencing assay	IP_06985_H3K4me1_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06985_H3K4me1_merge_sorted.bam	00baa4e17ade01b8344c5897bb32252a	H3K4me1	NA06985
NA06985_H3K4me3	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA06985	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA06985_H3K4me3	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA06985_H3K4me3	sequencing assay	IP_06985_H3K4me3_120521_7_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06985_H3K4me3_120521_7_sorted.bam	64e41dfc6cfd7e78c972b1a67aa76775	H3K4me3	NA06985
NA06985_PU.1	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA06985	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA06985_PU.1	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA06985_PU.1	sequencing assay	IP_06985_PU1_120521_6_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06985_PU1_120521_6_sorted.bam	be07ae2587290f24ddc013ac018187de	PU.1	NA06985
NA06985_RPB2	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA06985	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA06985_RPB2	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA06985_RPB2	sequencing assay	IP_06985_RPB2_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06985_RPB2_merge_sorted.bam	0d1886f2ae179a468387a7b8d669cdaa	RPB2	NA06985
NA06986_H3K27ac	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA06986	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA06986_H3K27ac	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA06986_H3K27ac	sequencing assay	IP_06986_H3K27ac_120628_3_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06986_H3K27ac_120628_3_sorted.bam	f4797e4f28d16bdc0517a7c82a823c14	H3K27ac	NA06986
NA06986_H3K4me1	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA06986	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA06986_H3K4me1	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA06986_H3K4me1	sequencing assay	IP_06986_H3K4me1_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06986_H3K4me1_merge_sorted.bam	bdf92b247ef58950ee6311683fe7c8ff	H3K4me1	NA06986
NA06986_H3K4me3	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA06986	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA06986_H3K4me3	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA06986_H3K4me3	sequencing assay	IP_06986_H3K4me3_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06986_H3K4me3_merge_sorted.bam	278b8fb9fb19c93925a403b453939211	H3K4me3	NA06986
NA06986_PU.1	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA06986	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA06986_PU.1	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA06986_PU.1	sequencing assay	IP_06986_PU1_120605_7_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06986_PU1_120605_7_sorted.bam	3914d0853c22df02857dcb20f28ba238	PU.1	NA06986
NA06986_RPB2	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA06986	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA06986_RPB2	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA06986_RPB2	sequencing assay	IP_06986_RPB2_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06986_RPB2_merge_sorted.bam	d5e256b44e6ba5f0da16a658d19d8ffb	RPB2	NA06986
