sample_id	genotype_id	phenotype	file_name	md5	URL
NA06985_H3K27ac	NA06985	H3K27ac	E-MTAB-3657.IP_06985_H3K27ac_120628_3_sorted.bam	3f8aa3ef5998fc19403b6c003281d7de	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06985_H3K27ac_120628_3_sorted.bam
NA06985_H3K4me1	NA06985	H3K4me1	E-MTAB-3657.IP_06985_H3K4me1_merge_sorted.bam	00baa4e17ade01b8344c5897bb32252a	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06985_H3K4me1_merge_sorted.bam
NA06985_H3K4me3	NA06985	H3K4me3	E-MTAB-3657.IP_06985_H3K4me3_120521_7_sorted.bam	64e41dfc6cfd7e78c972b1a67aa76775	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06985_H3K4me3_120521_7_sorted.bam
NA06985_PU1	NA06985	PU1	E-MTAB-3657.IP_06985_PU1_120521_6_sorted.bam	be07ae2587290f24ddc013ac018187de	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06985_PU1_120521_6_sorted.bam
NA06985_RPB2	NA06985	RPB2	E-MTAB-3657.IP_06985_RPB2_merge_sorted.bam	0d1886f2ae179a468387a7b8d669cdaa	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06985_RPB2_merge_sorted.bam
NA06986_H3K27ac	NA06986	H3K27ac	E-MTAB-3657.IP_06986_H3K27ac_120628_3_sorted.bam	f4797e4f28d16bdc0517a7c82a823c14	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06986_H3K27ac_120628_3_sorted.bam
NA06986_H3K4me1	NA06986	H3K4me1	E-MTAB-3657.IP_06986_H3K4me1_merge_sorted.bam	bdf92b247ef58950ee6311683fe7c8ff	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06986_H3K4me1_merge_sorted.bam
NA06986_H3K4me3	NA06986	H3K4me3	E-MTAB-3657.IP_06986_H3K4me3_merge_sorted.bam	278b8fb9fb19c93925a403b453939211	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06986_H3K4me3_merge_sorted.bam
NA06986_PU1	NA06986	PU1	E-MTAB-3657.IP_06986_PU1_120605_7_sorted.bam	3914d0853c22df02857dcb20f28ba238	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06986_PU1_120605_7_sorted.bam
NA06986_RPB2	NA06986	RPB2	E-MTAB-3657.IP_06986_RPB2_merge_sorted.bam	d5e256b44e6ba5f0da16a658d19d8ffb	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06986_RPB2_merge_sorted.bam
NA06994_H3K27ac	NA06994	H3K27ac	E-MTAB-3657.IP_06994_H3K27ac_merge_sorted.bam	b7dc8afaedd2a8a4e5201e9223fd449d	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06994_H3K27ac_merge_sorted.bam
NA06994_H3K4me1	NA06994	H3K4me1	E-MTAB-3657.IP_06994_H3K4me1_merge_sorted.bam	3bc9be9d51661462e5fc0e291f4de94d	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06994_H3K4me1_merge_sorted.bam
NA06994_H3K4me3	NA06994	H3K4me3	E-MTAB-3657.IP_06994_H3K4me3_120521_8_sorted.bam	304420a191a5a70b97f7ca6135690e36	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06994_H3K4me3_120521_8_sorted.bam
NA06994_PU1	NA06994	PU1	E-MTAB-3657.IP_06994_PU1_120605_4_sorted.bam	a9607a7596411311faf6c1d4c63af476	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06994_PU1_120605_4_sorted.bam
