file_name new_file_name
E-MTAB-3657.IP_06985_PU1_120521_6_sorted.bam NA06985_PU1.bam
E-MTAB-3657.IP_06986_PU1_120605_7_sorted.bam NA06986_PU1.bam
E-MTAB-3657.IP_06994_PU1_120605_4_sorted.bam NA06994_PU1.bam
E-MTAB-3657.IP_07037_PU1_120521_7_sorted.bam NA07037_PU1.bam
E-MTAB-3657.IP_07048_PU1_120521_8_sorted.bam NA07048_PU1.bam
E-MTAB-3657.IP_07051_PU1_merge_sorted.bam NA07051_PU1.bam
E-MTAB-3657.IP_07056_PU1_120605_4_sorted.bam NA07056_PU1.bam
E-MTAB-3657.IP_07346_PU1_120605_6_sorted.bam NA07346_PU1.bam
E-MTAB-3657.IP_07357_PU1_120612_1_sorted.bam NA07357_PU1.bam
E-MTAB-3657.IP_10847_PU1_120612_7_sorted.bam NA10847_PU1.bam
E-MTAB-3657.IP_10851_PU1_120605_3_sorted.bam NA10851_PU1.bam
E-MTAB-3657.IP_11829_PU1_120521_1_sorted.bam NA11829_PU1.bam
E-MTAB-3657.IP_11830_PU1_merge_sorted.bam NA11830_PU1.bam
E-MTAB-3657.IP_11831_PU1_merge_sorted.bam NA11831_PU1.bam
E-MTAB-3657.IP_11832_PU1_120612_2_sorted.bam NA11832_PU1.bam
E-MTAB-3657.IP_11840_PU1_merge_sorted.bam NA11840_PU1.bam
E-MTAB-3657.IP_11881_PU1_120612_1_sorted.bam NA11881_PU1.bam
E-MTAB-3657.IP_11894_PU1_120521_2_sorted.bam NA11894_PU1.bam
E-MTAB-3657.IP_11918_PU1_120521_3_sorted.bam NA11918_PU1.bam
E-MTAB-3657.IP_11920_PU1_120605_4_sorted.bam NA11920_PU1.bam
E-MTAB-3657.IP_11931_PU1_120605_8_sorted.bam NA11931_PU1.bam
E-MTAB-3657.IP_11992_PU1_120612_1_sorted.bam NA11992_PU1.bam
E-MTAB-3657.IP_11993_PU1_120521_5_sorted.bam NA11993_PU1.bam
E-MTAB-3657.IP_11994_PU1_120605_7_sorted.bam NA11994_PU1.bam
E-MTAB-3657.IP_12005_PU1_120605_7_sorted.bam NA12005_PU1.bam
E-MTAB-3657.IP_12043_PU1_120605_5_sorted.bam NA12043_PU1.bam
E-MTAB-3657.IP_12154_PU1_120521_6_sorted.bam NA12154_PU1.bam
E-MTAB-3657.IP_12156_PU1_120605_5_sorted.bam NA12156_PU1.bam
E-MTAB-3657.IP_12234_PU1_120612_6_sorted.bam NA12234_PU1.bam
E-MTAB-3657.IP_12249_PU1_120612_4_sorted.bam NA12249_PU1.bam
E-MTAB-3657.IP_12275_PU1_120605_3_sorted.bam NA12275_PU1.bam
E-MTAB-3657.IP_12282_PU1_120521_7_sorted.bam NA12282_PU1.bam
E-MTAB-3657.IP_12286_PU1_120521_8_sorted.bam NA12286_PU1.bam
E-MTAB-3657.IP_12287_PU1_120605_6_sorted.bam NA12287_PU1.bam
E-MTAB-3657.IP_12383_PU1_120605_6_sorted.bam NA12383_PU1.bam
E-MTAB-3657.IP_12489_PU1_120605_7_sorted.bam NA12489_PU1.bam
E-MTAB-3657.IP_12750_PU1_120521_1_sorted.bam NA12750_PU1.bam
E-MTAB-3657.IP_12760_PU1_merge_sorted.bam NA12760_PU1.bam
E-MTAB-3657.IP_12761_PU1_120521_2_sorted.bam NA12761_PU1.bam
E-MTAB-3657.IP_12762_PU1_merge_sorted.bam NA12762_PU1.bam
E-MTAB-3657.IP_12763_PU1_120612_4_sorted.bam NA12763_PU1.bam
E-MTAB-3657.IP_12776_PU1_120605_5_sorted.bam NA12776_PU1.bam
E-MTAB-3657.IP_12812_PU1_120605_8_sorted.bam NA12812_PU1.bam
E-MTAB-3657.IP_12813_PU1_120521_4_sorted.bam NA12813_PU1.bam
E-MTAB-3657.IP_12814_PU1_merge_sorted.bam NA12814_PU1.bam
E-MTAB-3657.IP_12815_PU1_120605_8_sorted.bam NA12815_PU1.bam
E-MTAB-3657.IP_12873_PU1_merge_sorted.bam NA12873_PU1.bam
